China	"80,881"	21	"3,226"	13	"68,690"	"8,965"	"3,226"	56.2		"March 17, 2020, 03:35 GMT"
Italy	"27,980"		"2,158"		"2,749"	"23,073"	"1,851"			"March 17, 2020, 03:35 GMT"
Iran	"14,991"		853		"4,996"	"9,142"		178.5		"March 17, 2020, 03:35 GMT"
Spain	"9,942"		342		530	"9,070"	272	212.6		"March 17, 2020, 03:35 GMT"
S. Korea	"8,320"	84	81	6	"1,401"	"6,838"	59	162.3		"March 17, 2020, 03:35 GMT"
Germany	"7,272"		17		67	"7,188"	2	86.8		"March 17, 2020, 03:35 GMT"
France	"6,633"		148		12	"6,473"	400	101.6		"March 17, 2020, 03:35 GMT"
USA	"4,712"	49	91	5	74	"4,547"	12	14.2		"March 17, 2020, 03:35 GMT"
Switzerland	"2,353"		19		4	"2,330"		271.9		"March 17, 2020, 03:35 GMT"
UK	"1,543"		55		52	"1,436"	20	22.7		"March 17, 2020, 03:35 GMT"
Netherlands	"1,413"		24		2	"1,387"	45	82.5		"March 17, 2020, 03:35 GMT"
Norway	"1,348"		3		1	"1,344"	27	248.7		"March 17, 2020, 03:35 GMT"
Sweden	"1,121"		7		1	"1,113"	2	111		"March 17, 2020, 03:35 GMT"
Belgium	"1,058"		10		1	"1,047"	33	91.3		"March 17, 2020, 03:35 GMT"
Austria	"1,018"		3		8	"1,007"	12	113		"March 17, 2020, 03:35 GMT"
Denmark	914		4		1	909	10	157.8		"March 17, 2020, 03:35 GMT"
Japan	833		28		144	661	41	6.6		"March 17, 2020, 03:35 GMT"
Diamond Princess Cruise Ship	696		7		456	233	15			"March 17, 2020, 03:35 GMT"
Malaysia	566				42	524	9	17.5		"March 17, 2020, 03:35 GMT"
Canada	441		4		11	426	1	11.7		"March 17, 2020, 03:35 GMT"
Qatar	439				4	435		152.4		"March 17, 2020, 03:35 GMT"
Australia	401		5		27	369	1	15.7		"March 17, 2020, 03:35 GMT"
Greece	352		4		8	340	5	33.8		"March 17, 2020, 03:35 GMT"
Czechia	344				3	341	2	32.1		"March 17, 2020, 03:35 GMT"
Portugal	331		1		3	327	18	32.5		"March 17, 2020, 03:35 GMT"
Israel	298				4	294	4	34.4		"March 17, 2020, 03:35 GMT"
Finland	278				10	268	1	50.2		"March 17, 2020, 03:35 GMT"
Slovenia	253		1			252	3	121.7		"March 17, 2020, 03:35 GMT"
Singapore	243				109	134	11	41.5		"March 17, 2020, 03:35 GMT"
Brazil	234				2	232	2	1.1		"March 17, 2020, 03:35 GMT"
Bahrain	228		1		81	146	1	134		"March 17, 2020, 03:35 GMT"
Ireland	223		2		5	216	6	45.2		"March 17, 2020, 03:35 GMT"
Estonia	205				1	204		154.5		"March 17, 2020, 03:35 GMT"
Iceland	199					199	1			"March 17, 2020, 03:35 GMT"
Pakistan	184		1		2	181		0.8		"March 17, 2020, 03:35 GMT"
Poland	177		4			173	3	4.7		"March 17, 2020, 03:35 GMT"
Romania	168				9	159	2	8.7		"March 17, 2020, 03:35 GMT"
Egypt	166		4		32	130		1.6		"March 17, 2020, 03:35 GMT"
Chile	156					156		8.2		"March 17, 2020, 03:35 GMT"
Hong Kong	155		4		81	70	4	20.7		"March 17, 2020, 03:35 GMT"
